year,Africa,Asia,Europe,North America,Oceania,South America
1800,0.0,0.0,0.143,0.017,0.0,0.0
1801,0.0,0.0,0.141,0.019,0.0,0.0
1802,0.0,0.0,0.186,0.02,0.0,0.0
1803,0.0,0.0,0.158,0.02,0.0,0.0
1804,0.0,0.0,0.171,0.022,0.0,0.0
1805,0.0,0.0,0.166,0.022,0.0,0.0
1806,0.0,0.0,0.173,0.021,0.0,0.0
1807,0.0,0.0,0.181,0.024,0.0,0.0
1808,0.0,0.0,0.171,0.024,0.0,0.0
1809,0.0,0.0,0.171,0.025,0.0,0.0
1810,0.0,0.0,0.18,0.024,0.0,0.0
1811,0.0,0.0,0.19,0.026,0.0,0.0
1812,0.0,0.0,0.195,0.028,0.0,0.0
1813,0.0,0.0,0.194,0.029,0.0,0.0
1814,0.0,0.0,0.196,0.031,0.0,0.0
1815,0.0,0.0,0.201,0.032,0.0,0.0
1816,0.0,0.0,0.218,0.035,0.0,0.0
1817,0.0,0.0,0.224,0.037,0.0,0.0
1818,0.0,0.0,0.222,0.039,0.0,0.0
1819,0.0,0.0,0.221,0.038,0.0,0.0
1820,0.0,0.0,0.223,0.037,0.0,0.0
1821,0.0,0.0,0.224,0.039,0.0,0.0
1822,0.0,0.0,0.231,0.04,0.0,0.0
1823,0.0,0.0,0.242,0.041,0.0,0.0
1824,0.0,0.0,0.248,0.046,0.0,0.0
1825,0.0,0.0,0.255,0.05,0.0,0.0
1826,0.0,0.0,0.255,0.057,0.0,0.0
1827,0.0,0.0,0.271,0.061,0.0,0.0
1828,0.0,0.0,0.271,0.066,0.0,0.0
1829,0.0,0.0,0.267,0.073,0.0,0.0
1830,0.0,0.0,0.357,0.082,0.0,0.0
1831,0.0,0.0,0.334,0.089,0.0,0.0
1832,0.0,0.0,0.331,0.116,0.0,0.0
1833,0.0,0.0,0.333,0.133,0.0,0.0
1834,0.0,0.0,0.338,0.125,0.0,0.0
1835,0.0,0.0,0.339,0.156,0.0,0.0
1836,0.0,0.0,0.391,0.168,0.0,0.0
