year,High-income,Low-income,Lower-middle-income,Upper-middle-income
1800,0.635,,,
1801,0.623,,,
1802,0.472,,,
1803,0.683,,,
1804,0.45,,,
1805,0.706,,,
1806,0.73,,,
1807,0.712,,,
1808,0.711,,,
1809,0.702,,,
1810,0.46,,,
1811,0.48,,,
1812,0.489,,,
1813,0.482,,,
1814,0.483,,,
1815,0.489,,,
1816,0.525,,,
1817,0.534,,,
1818,0.525,,,
1819,0.501,,,
1820,0.5,,,
1821,0.499,,,
1822,0.512,,,
1823,0.536,,,
1824,0.548,,,
1825,0.562,,,
1826,0.562,,,
1827,0.596,,,
1828,0.595,,,
1829,0.58,,,
1830,0.641,,0.0,0.0
1831,0.602,,0.0,0.0
1832,0.605,,0.0,0.0
1833,0.611,,0.0,0.0
1834,0.612,,,
1835,0.628,,,
1836,0.72,,,
1837,0.712,,,
1838,0.727,,,
1839,0.728,,,
1840,0.768,,,
1841,0.785,,,
1842,0.821,,,
1843,0.828,,,
1844,0.874,,,
1845,0.95,,,
1846,0.94,,,
1847,1.017,,,
1848,1.047,,,
1849,1.095,,,
1850,1.101,,0.001,0.002
1851,1.13,,,
1852,1.168,,,
1853,1.21,,,
1854,1.407,,,
1855,1.396,,0.004,0.005
1856,1.498,,,
1857,1.497,,,
1858,1.457,,0.002,0.006
1859,1.528,,0.003,0.006
1860,1.388,,0.003,0.008
1861,1.445,,0.003,0.01
1862,1.458,,0.003,0.009
1863,1.541,,0.003,0.009
1864,1.645,,0.003,0.01
1865,1.73,,0.003,0.01
1866,1.76,,0.005,0.028
1867,1.844,,0.034,0.032
1868,1.66,,0.028,0.026
1869,1.744,,0.037,0.036
1870,1.74,,0.04,0.037
1871,1.829,,0.053,0.049
1872,2.005,,0.054,0.051
1873,2.111,,0.05,0.047
1874,1.953,,0.061,0.057
1875,2.096,,0.069,0.065
1876,2.126,,0.085,0.078
1877,2.146,,0.086,0.081
1878,2.124,,0.016,0.102
1879,2.229,,0.016,0.102
1880,2.486,,0.018,0.118
1881,2.543,,0.018,0.12
1882,2.698,,0.02,0.126
1883,2.801,,0.022,0.144
1884,2.836,,0.023,0.135
1885,2.8,,0.023,0.14
1886,2.837,,0.025,0.148
1887,2.943,,0.026,0.162
1888,3.19,,0.028,0.166
1889,3.184,,0.028,0.186
1890,3.402,,0.031,0.194
1891,3.518,,0.034,0.194
1892,3.461,,0.036,0.207
1893,3.363,,0.042,0.247
1894,3.444,,0.042,0.256
1895,3.574,,0.05,0.293
1896,3.627,,0.052,0.302
1897,3.746,,0.059,0.338
1898,3.896,,0.066,0.385
1899,4.204,,0.074,0.114
1900,4.381,,0.083,0.446
1901,4.462,,0.09,0.43
1902,4.528,,0.089,0.125
1903,4.894,,0.092,0.13
1904,4.866,,0.103,0.145
